semana,interface,ux,mobile
2019-12-15,40,60,55
2019-12-22,34,37,39
2019-12-29,31,46,39
2020-01-05,29,67,52
2020-01-12,62,73,55
2020-01-19,34,71,60
2020-01-26,38,71,67
2020-02-02,47,62,57
2020-02-09,28,69,56
2020-02-16,61,75,58
2020-02-23,41,82,59
2020-03-01,45,66,61
2020-03-08,32,62,55
2020-03-15,13,53,55
2020-03-22,26,59,58
2020-03-29,69,56,48
